rowid,Performer,Score per year,Total score,Show
118,Gretchen Mol,0.5,0.5,Boardwalk Empire
119,Jim Parrack,0.5,0.5,True Blood
120,Rutina Wesley,0.5,0.5,True Blood
121,Woody Harrelson,0.5,0.5,True Detective
122,Martin Sheen,0.5,4.25,The West Wing
123,Rene Auberjonois,0.5,3.25,Boston Legal
124,Mary Steenburgen,0.5,4.5,Joan of Arcadia
125,Ali Larter,0.5,2.25,Heroes
126,Naveen Andrews,0.5,2.25,Lost
127,Tate Donovan,0.5,2.25,Damages
128,William Sanderson,0.4,4.0,Deadwood
129,Robin Weigert,0.4,3.75,Deadwood
130,Aaron Himelstein,0.4,4.0,Joan of Arcadia
131,Shawn Doyle,0.4,2.0,Big Love
132,Terry O'Quinn,0.4,2.0,Lost
133,Yunjin Kim,0.4,2.0,Lost
134,Sean Bridgers,0.4,3.5,Deadwood
135,Steven Van Zandt,0.4,3.0,The Sopranos
136,Melora Walters,0.4,1.75,Big Love
137,LisaGay Hamilton,0.3,4.0,The Practice
138,Powers Boothe,0.3,3.0,Deadwood
139,Carlos Bernard,0.3,2.0,24
140,Laura Innes,0.3,2.0,ER
141,David Harewood,0.3,1.0,Homeland
142,Eric Dane,0.3,1.0,Grey's Anatomy
143,Steve Harris,0.3,3.5,The Practice
144,Derek Phillips,0.3,1.25,Friday Night Lights
145,Michael Welch,0.3,3.0,Joan of Arcadia
146,Matthew Fox,0.3,1.5,Lost
147,S. Epatha Merkerson,0.3,1.5,Law & Order
148,Anthony Edwards,0.3,2.0,ER
149,Gaius Charles,0.3,2.0,Friday Night Lights
150,William Shatner,0.3,2.0,Boston Legal
151,W. Earl Brown,0.3,2.5,Deadwood
152,Justina Machado,0.3,2.75,Six Feet Under
153,Chris Marquette,0.3,2.5,Joan of Arcadia
154,Brad Dourif,0.3,2.25,Deadwood
155,Mary Kay Place,0.3,1.0,Big Love
156,Stacey Oristano,0.3,1.0,Friday Night Lights
157,Glenn Close,0.3,0.75,Damages
158,Michael Stuhlbarg,0.3,0.5,Boardwalk Empire
159,Morgan Saylor,0.3,0.5,Homeland
160,Anna Paquin,0.3,0.25,True Blood
161,Dane Rhodes,0.3,0.25,True Detective
162,Joe Chrest,0.3,0.25,True Detective
163,Michael Hyatt,0.3,0.25,True Detective
164,Nelsan Ellis,0.3,0.25,True Blood
165,Stephen Graham,0.3,0.25,Boardwalk Empire
166,Stephen Moyer,0.3,0.25,True Blood
167,Steve Buscemi,0.3,0.25,Boardwalk Empire
168,Todd Lowe,0.3,0.25,True Blood
169,Jim Beaver,0.2,2.0,Deadwood
170,Keone Young,0.2,2.0,Deadwood
171,Ashley Crow,0.2,1.0,Heroes
172,Evangeline Lilly,0.2,1.0,Lost
173,Jack Coleman,0.2,1.0,Heroes
174,Yvette Freeman,0.2,1.0,ER
175,Harry Dean Stanton,0.2,0.75,Big Love
176,Janel Moloney,0.1,1.25,The West Wing
177,Mathew St. Patrick,0.1,1.25,Six Feet Under
178,Dominic Chianese,0.1,1.0,The Sopranos
179,Grace Zabriskie,0.1,0.5,Big Love
180,Jennifer Carpenter,0.1,0.25,Dexter
181,Marla Sokoloff,0.1,1.25,The Practice
182,Jeffrey Jones,0.1,1.0,Deadwood
183,Melissa Fitzgerald,0.1,1.0,The West Wing
184,Candice Bergen,0.1,0.75,Boston Legal
