rowid,FILM,STARS,RATING,VOTES
216,Exhibition OnScreen: Girl with the Pearl Earring (2015),4.5,4.2,28
217,Daryl Hall & John Oates: Recorded Live From Dublin (2015),4.5,4.3,28
218,PlantPure Nation (2015),5.0,4.9,28
219,Desert Dancer (2015),4.0,4.0,28
220,Boulevard (2015),4.5,4.1,27
221,Classic Music Series: Aerosmith (2015),5.0,4.6,27
222,Samba (2015),4.0,3.8,26
223,Antony and Cleopatra (Stratford Festival) (2015),3.5,3.0,25
224,The Voices (2015),4.0,3.6,25
225,Big Game (2015),4.0,3.5,24
226,5 to 7 (2015),3.5,3.4,24
227,Let's Get Married (2015),4.5,4.4,24
228,The Algerian (2015),5.0,4.5,23
229,Good Kill (2015),4.0,3.6,23
230,The Metropolitan Opera: Cavalleria Rusticana/Paliacci (2015),4.5,4.3,23
231,Mommy (2015),4.0,3.9,23
232,The Oscar Nominated Short Films 2015: Animated (2015),4.5,4.1,22
233,Jil (2015),3.5,3.2,22
234,Batkid Begins (2015),4.5,4.2,22
235,3 Hearts  (2015),3.0,2.8,22
236,Cop Car (2015),3.5,3.4,22
237,Survivor (2015),3.5,3.2,21
238,Gemma Bovery (2015),3.0,2.8,21
239,She's Funny That Way (2015),4.0,3.8,21
240,Zombeavers (2015),4.0,3.8,21
241,Maari (2015),4.5,4.4,21
242,Ballet 422 (2015),3.0,3.0,21
243,No Escape (2015),4.0,4.0,21
244,Mistress America (2015),4.0,3.6,20
245,Best of Enemies (2015),3.5,3.3,20
246,Jimmy's Hall (2015),3.5,3.4,20
247,Human Capital (2015),4.0,3.5,19
248,White God (2015),4.0,3.6,19
249,Boychoir (2015),5.0,4.7,19
250,Listen to Me Marlon (2015),3.5,3.3,19
251,An Honest Liar (2015),4.0,3.8,19
252,A LEGO Brickumentary (2015),4.5,4.4,19
253,The Connection (2015),4.0,3.7,18
254,Walt Before Mickey  (2015),5.0,4.7,18
255,Results (2015),3.0,3.0,18
256,Heaven Knows What (2015),4.0,3.5,17
257,Lambert & Stamp (2015),4.0,3.7,17
258,Go Away Mr. Tumor (2015),4.5,4.2,17
259,What We Did on Our Holiday (2015),4.5,4.3,17
260,Tangerines (2015),4.0,3.9,17
261,Last Knights (2015),5.0,4.7,16
262,Manglehorn (2015),2.5,2.3,16
263,Learning to Drive (2015),4.5,4.1,15
264,That Thing Called Tadhana (2015),4.0,3.6,15
265,Sunshine Superman (2015),4.5,4.2,15
266,The Farewell Party (2015),3.5,3.3,15
267,Paulette (2015),4.5,4.1,14
268,Once I Was a Beehive (2015),5.0,4.6,14
269,Vasuvum Saravananum Onna Padichavanga (2015),3.5,3.1,14
270,Monsters: Dark Continent (2015),3.5,3.2,14
271,Snow Girl and the Dark Crystal 3D (2015),4.0,3.8,14
272,Grandma (2015),4.0,3.9,14
273,Can't Stand Losing You: Surviving The Police (2015),4.5,4.4,14
274,The Green Inferno (2015),4.5,4.4,14
275,The Young and Prodigious T.S. Spivet (2015),4.5,4.1,13
276,Kill Me Three Times (2015),3.5,3.2,13
277,Runoff (2015),4.5,4.2,13
278,Matt Shepard Is a Friend of Mine (2015),5.0,4.9,13
279,Aloft (2015),3.0,3.0,13
280,Kahlil Gibran's The Prophet (2015),4.0,4.0,13
281,Lost and Love (Shi Gu) (2015),5.0,4.6,12
282,The Tribe (2015),4.0,4.0,12
283,All Is Well (2015),3.0,2.6,11
284,Eden (2015),3.5,3.1,11
285,Spring (2015),4.0,3.6,11
